"Ano","Municipio","Emissao","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
2009,1302504,1404258.61732893,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302553,607948.93715648,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302603,7980343.43600078,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302702,2538503.93189503,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302801,129766.318382033,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302900,1565371.15854014,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303007,732456.180898567,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303106,503338.56892784,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303205,204162.772883206,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303304,1529293.56491288,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303403,1031518.7640241,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303502,239060.340002044,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303536,997028.567308772,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303569,307938.8865905,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303601,95466.587039414,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303700,144939.631775452,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303809,32691.731243192,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303908,124269.079272253,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303957,329333.70873998,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304005,217010.448855262,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304062,220825.054074017,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304104,283191.601292361,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304203,823493.301430885,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304237,122759.344406594,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304260,368054.795428407,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304302,374882.737762482,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304401,357012.761070888,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2010,1300029,334266.08518203,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300060,100509.888544429,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300086,179072.53700251,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300102,114264.616048238,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300144,3809641.87984663,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300201,149840.903262542,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300300,2803070.50433801,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300409,264598.789645541,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300508,579957.94045644,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300607,87327.785078999,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300631,276498.09140448,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300680,278673.234722965,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300706,4212869.16343263,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300805,1206792.52995556,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300839,1188261.24441409,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300904,1040746.10672401,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301001,229431.292810296,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301100,4157673.98500348,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301159,1401345.63831471,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301209,467744.346143421,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301308,162360.499878579,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301407,364811.592534817,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301506,481916.335058275,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301605,207471.444703876,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301654,658402.59559075,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301704,668612.326061158,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301803,372595.650833327,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301852,777974.634149013,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301902,1576567.28593849,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1301951,169216.397850584,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1302009,138177.534929501,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1302108,22652.552867109,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1302207,151628.864517056,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1302306,318551.280705371,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1302405,4501427.59332625,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1302504,3582961.30778368,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1302553,1326163.68362266,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1302603,9291610.60206422,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1302702,3185167.93861876,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1302801,76804.707228553,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1302900,1021046.37239074,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1303007,657379.281997368,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1303106,524746.422064725,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
