"UF","Ano","Mes","Qtde_Focos","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
25,2008,10,109,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
26,2008,10,303,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
27,2008,10,32,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
28,2008,10,1,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
29,2008,10,7949,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
31,2008,10,4299,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,10,116,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
33,2008,10,59,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
35,2008,10,120,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
41,2008,10,103,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
42,2008,10,78,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
43,2008,10,214,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
50,2008,10,515,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,10,7778,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
52,2008,10,1425,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
53,2008,10,8,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
