"Ano","Mes","Dia","Fator.de.Emissao..tCO2.MWh.","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
2008,7,31,0.3612,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,1,0.4344,NA,NA,NA,NA,NA,NA,31.4483,21,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,2,0.4824,NA,NA,NA,NA,NA,NA,31.4483,21,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,3,0.4475,NA,NA,NA,NA,NA,NA,31.4483,21,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,4,0.4759,NA,NA,NA,NA,NA,NA,31.38839848,20.96,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,5,0.4874,NA,NA,NA,NA,NA,NA,31.89756143,21.3,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,6,0.4379,NA,NA,NA,NA,NA,NA,33.0955919,22.1,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,7,0.4181,NA,NA,NA,NA,NA,NA,33.79943481,22.57,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,8,0.4408,NA,NA,NA,NA,NA,NA,33.32022262,22.25,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,9,0.439,NA,NA,NA,NA,NA,NA,33.32022262,22.25,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,10,0.4926,NA,NA,NA,NA,NA,NA,33.32022262,22.25,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,11,0.3937,NA,NA,NA,NA,NA,NA,33.4100749,22.31,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,12,0.3779,NA,NA,NA,NA,NA,NA,34.63805614,23.13,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,13,0.3733,NA,NA,NA,NA,NA,NA,35.23707138,23.53,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,14,0.425,NA,NA,NA,NA,NA,NA,34.60810538,23.11,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,15,0.442,NA,NA,NA,NA,NA,NA,34.06899167,22.75,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,16,0.4908,NA,NA,NA,NA,NA,NA,34.06899167,22.75,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,17,0.5351,NA,NA,NA,NA,NA,NA,34.06899167,22.75,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,18,0.4195,NA,NA,NA,NA,NA,NA,34.87766224,23.29,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,19,0.3954,NA,NA,NA,NA,NA,NA,34.9824899,23.36,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,20,0.3719,NA,NA,NA,NA,NA,NA,36.0906681,24.1,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,21,0.3801,NA,NA,NA,NA,NA,NA,36.480028,24.36,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,22,0.3836,NA,NA,NA,NA,NA,NA,36.34524957,24.27,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,23,0.4304,NA,NA,NA,NA,NA,NA,36.34524957,24.27,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,24,0.5142,NA,NA,NA,NA,NA,NA,36.34524957,24.27,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,25,0.4637,NA,NA,NA,NA,NA,NA,35.98584043,24.03,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,26,0.4295,NA,NA,NA,NA,NA,NA,36.58485567,24.43,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,27,0.4073,NA,NA,NA,NA,NA,NA,37.27372319,24.89,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,28,0.3666,NA,NA,NA,NA,NA,NA,37.21382167,24.85,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,29,0.335,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,30,0.351,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,31,0.4152,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,1,0.388,NA,NA,NA,NA,NA,NA,35.4208175,24.65,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,2,0.3907,NA,NA,NA,NA,NA,NA,35.06158,24.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,3,0.402,NA,NA,NA,NA,NA,NA,34.9322545,24.31,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,4,0.4154,NA,NA,NA,NA,NA,NA,35.1909055,24.49,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,5,0.3686,NA,NA,NA,NA,NA,NA,34.659234,24.12,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,6,0.3673,NA,NA,NA,NA,NA,NA,34.659234,24.12,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,7,0.4287,NA,NA,NA,NA,NA,NA,34.659234,24.12,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,8,0.4015,NA,NA,NA,NA,NA,NA,34.4724305,23.99,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,9,0.3868,NA,NA,NA,NA,NA,NA,32.6906125,22.75,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,10,0.3362,NA,NA,NA,NA,NA,NA,32.417592,22.56,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,11,0.331,NA,NA,NA,NA,NA,NA,32.9780025,22.95,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,12,0.3224,NA,NA,NA,NA,NA,NA,33.91202,23.6,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,13,0.4213,NA,NA,NA,NA,NA,NA,33.91202,23.6,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,14,0.5374,NA,NA,NA,NA,NA,NA,33.91202,23.6,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,15,0.4315,NA,NA,NA,NA,NA,NA,32.76246,22.8,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,16,0.3988,NA,NA,NA,NA,NA,NA,32.388853,22.54,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,17,0.4274,NA,NA,NA,NA,NA,NA,33.2079145,23.11,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,18,0.414,NA,NA,NA,NA,NA,NA,33.567152,23.36,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,19,0.4216,NA,NA,NA,NA,NA,NA,35.004102,24.36,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,20,0.5195,NA,NA,NA,NA,NA,NA,35.004102,24.36,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,21,0.5575,NA,NA,NA,NA,NA,NA,35.004102,24.36,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,22,0.4512,NA,NA,NA,NA,NA,NA,35.4495565,24.67,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,23,0.4444,NA,NA,NA,NA,NA,NA,35.7369465,24.87,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,24,0.4179,NA,NA,NA,NA,NA,NA,35.0184715,24.37,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,25,0.3701,NA,NA,NA,NA,NA,NA,35.1621665,24.47,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,26,0.3706,NA,NA,NA,NA,NA,NA,34.889146,24.28,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,27,0.4058,NA,NA,NA,NA,NA,NA,34.889146,24.28,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,28,0.4096,NA,NA,NA,NA,NA,NA,34.889146,24.28,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,29,0.4301,NA,NA,NA,NA,NA,NA,33.0929585,23.03,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,30,0.4065,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,1,0.4113,NA,NA,NA,NA,NA,NA,30.77402087,23.1,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,2,0.4289,NA,NA,NA,NA,NA,NA,30.72073252,23.06,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,3,0.399,NA,NA,NA,NA,NA,NA,30.72073252,23.06,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,4,0.4617,NA,NA,NA,NA,NA,NA,30.72073252,23.06,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,5,0.5646,NA,NA,NA,NA,NA,NA,30.72073252,23.06,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,6,0.4651,NA,NA,NA,NA,NA,NA,29.08211583,21.83,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,7,0.4634,NA,NA,NA,NA,NA,NA,29.34855757,22.03,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,8,0.46,NA,NA,NA,NA,NA,NA,28.88228452,21.68,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,9,0.4702,NA,NA,NA,NA,NA,NA,29.94805148,22.48,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,10,0.4627,NA,NA,NA,NA,NA,NA,29.16204835,21.89,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,11,0.4752,NA,NA,NA,NA,NA,NA,29.16204835,21.89,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,12,0.5227,NA,NA,NA,NA,NA,NA,29.16204835,21.89,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,13,0.4341,NA,NA,NA,NA,NA,NA,30.2278153,22.69,NA,NA,NA,NA,NA,NA,NA,NA
