"UF","Ano","Abrangencia","CO2e","CO2","CH4","N2O","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
52,2008,1,68420,25429,1458.7,39.63,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
52,2008,2,41052,1549,1329.6,37.36,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
52,2008,3,10405,9746,17.1,0.97,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
52,2008,4,14346,13380,30.4,1.05,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
52,2008,5,810,739,0,NA,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
52,2008,6,1807,15,81.5,0.26,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
53,2008,1,5578,3926,64.3,0.87,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
53,2008,2,430,24,11.5,0.53,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
53,2008,3,3203,3068,3,0.23,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
53,2008,4,-177,-182,0.2,0.01,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
53,2008,5,1046,1015,NA,NA,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
53,2008,6,1075,2,49.6,0.11,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
11,2009,1,36437,14962,780.5,16.34,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
11,2009,2,19744,39,717.2,14.98,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
11,2009,3,3806,3692,2.9,0.17,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
11,2009,4,12256,11130,37.1,1.12,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
11,2009,5,103,82,NA,NA,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
11,2009,6,528,18,23.2,0.07,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
12,2009,1,10690,5591,186,3.82,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
12,2009,2,4227,6,155.7,3.07,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
12,2009,3,691,661,0.9,0.04,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
12,2009,4,5595,4910,22.6,0.68,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
12,2009,5,18,8,NA,NA,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
12,2009,6,158,7,6.7,0.03,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
